formattedAddress,zipCode,price,squareFootage,pricePerSqft,yearBuilt,daysOnMarket,flagReason
"602 Flooded Gum St, Arlington, TX 76002",76002,332500.0,3527.0,94.27,2004.0,114.0,ppsf 94 below floor 107 (zip median 179)
"1709 Norwood Ln, Arlington, TX 76013",76013,500000.0,4862.0,102.84,1981.0,84.0,ppsf 103 below floor 103 (zip median 172)
