id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"1481-Stony-Trl,-Prosper,-TX-75078","1481 Stony Trl, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,4808,32278,2016,1599000,48,332.57,0.149,3,-5.66,2
"16116-Plum-Ct,-Prosper,-TX-75078","16116 Plum Ct, Prosper, TX 75078",75078,Single Family,Standard,4,3,2396,6229,2017,519900,61,216.99,0.3847,1,0.0,0
"2560-Shady-Trl,-Prosper,-TX-75078","2560 Shady Trl, Prosper, TX 75078",75078,Single Family,Standard,4,5,4046,9583,2023,915000,61,226.15,0.4222,2,-3.68,1
"4090-Pequin-Dr,-Prosper,-TX-75078","4090 Pequin Dr, Prosper, TX 75078",75078,Townhouse,Standard,3,3,2078,2788,2017,450000,58,216.55,0.7453,1,0.0,0
"15813-High-Line-Dr,-Prosper,-TX-75078","15813 High Line Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3,2238,5489,2016,450000,56,201.07,0.4077,1,0.0,0
"3851-Marigold-Ln,-Prosper,-TX-75078","3851 Marigold Ln, Prosper, TX 75078",75078,Townhouse,Standard,2,2,1369,2788,2020,434000,56,317.02,0.491,1,0.0,0
"1741-Cypress-Lake-Ln,-Prosper,-TX-75078","1741 Cypress Lake Ln, Prosper, TX 75078",75078,Single Family,Standard,5,5,4344,14026,2019,1199000,47,276.01,0.3097,1,0.0,0
"2620-Acie-Ln,-Prosper,-TX-75078","2620 Acie Ln, Prosper, TX 75078",75078,Single Family,New Construction,5,4.5,3461,,2026,950380,47,274.6,,1,0.0,0
"3093-Eleanor-Dr,-Prosper,-TX-75078","3093 Eleanor Dr, Prosper, TX 75078",75078,Single Family,New Construction,3,,2301,,,577990,47,251.19,,24,-2.86,11
"2351-Glen-Heather-Ln,-Prosper,-TX-75078","2351 Glen Heather Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,3918,6970,2022,850000,47,216.95,0.5621,1,0.0,0
"1411-Maplewood-Dr,-Prosper,-TX-75078","1411 Maplewood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,4,3441,10411,2022,900000,47,261.55,0.3305,1,0.0,0
"761-Arrowhead-Dr,-Prosper,-TX-75078","761 Arrowhead Dr, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4341,11326,2005,769000,47,177.15,0.3833,2,-5.53,1
"2710-Sassafrass-Ct,-Prosper,-TX-75078","2710 Sassafrass Ct, Prosper, TX 75078",75078,Single Family,New Construction,5,6,3702,,2026,972990,46,262.83,,1,0.0,0
"2780-Live-Oak-Ln,-Prosper,-TX-75078","2780 Live Oak Ln, Prosper, TX 75078",75078,Single Family,New Construction,4,4.5,3700,,2026,1425800,46,385.35,,3,6.88,0
"971-Fallkirk-Dr,-Prosper,-TX-75078","971 Fallkirk Dr, Prosper, TX 75078",75078,Single Family,New Construction,5,5,4231,,2026,983190,46,232.38,,1,0.0,0
"930-Shooting-Star-Dr,-Prosper,-TX-75078","930 Shooting Star Dr, Prosper, TX 75078",75078,Single Family,New Construction,4,,3517,,,927990,45,263.86,,12,-5.31,5
"3550-Alabasta-Dr,-Prosper,-TX-75078","3550 Alabasta Dr, Prosper, TX 75078",75078,Single Family,New Construction,5,5.5,4772,10237,2025,1399000,54,293.17,0.4662,1,0.0,0
"1310-Crescent-Ln,-Prosper,-TX-75078","1310 Crescent Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4,3598,6621,2022,835000,53,232.07,0.5434,1,0.0,0
"3631-Whimbrel-Ct,-Prosper,-TX-75078","3631 Whimbrel Ct, Prosper, TX 75078",75078,Single Family,New Construction,5,,4445,,,1144900,50,257.57,,4,12.04,0
"2044-Montgomery-Ln,-Prosper,-TX-75078","2044 Montgomery Ln, Prosper, TX 75078",75078,Single Family,New Construction,4,3,2600,6098,2025,615000,45,236.54,0.4264,1,0.0,0
"870-Sagebrush-Dr,-Prosper,-TX-75078","870 Sagebrush Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3864,10019,2014,730000,42,188.92,0.3857,1,0.0,0
