id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"514-Overton-Ave,-Celina,-TX-75009","514 Overton Ave, Celina, TX 75009",75009,Single Family,Standard,4,3,2795,5750,2017,525000,91,187.84,0.4861,1,0.0,0
"4229-Rainwater-Creek-Way,-Celina,-TX-75078","4229 Rainwater Creek Way, Celina, TX 75078",75078,Single Family,Standard,5,4.5,4384,9235,2017,650000,92,148.27,0.4747,1,0.0,0
"2724-Driftwood-Creek-Trl,-Celina,-TX-75078","2724 Driftwood Creek Trl, Celina, TX 75078",75078,Single Family,Standard,4,3,2737,7187,2016,519900,91,189.95,0.3808,4,-13.34,3
"16529-Hidden-Cove-Dr,-Celina,-TX-75009","16529 Hidden Cove Dr, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2812,6159,2022,550000,167,195.59,0.4566,2,-7.56,1
"3513-Alamosa-River-Dr,-Celina,-TX-75078","3513 Alamosa River Dr, Celina, TX 75078",75078,Single Family,Standard,4,2,2127,6360,2019,450000,163,211.57,0.3344,1,0.0,0
"4128-Wood-River-Trl,-Celina,-TX-75078","4128 Wood River Trl, Celina, TX 75078",75078,Single Family,Standard,4,2,2224,6273,2021,435500,166,195.82,0.3545,1,0.0,0
"6201-Cheshire-St,-Celina,-TX-76227","6201 Cheshire St, Celina, TX 76227",76227,Single Family,Standard,5,3.5,3273,6882,2020,475000,161,145.13,0.4756,3,-19.49,2
"6212-Painswick-Dr,-Celina,-TX-76227","6212 Painswick Dr, Celina, TX 76227",76227,Single Family,Standard,3,2,2056,5837,2019,349500,153,169.99,0.3522,2,-8.03,1
"3512-Truro-St,-Celina,-TX-75009","3512 Truro St, Celina, TX 75009",75009,Single Family,Standard,4,3,3211,10890,2024,915000,90,284.96,0.2949,1,0.0,0
"1405-Devonshire-Dr,-Celina,-TX-75009","1405 Devonshire Dr, Celina, TX 75009",75009,Single Family,Standard,5,4.5,4303,9888,2016,1000000,90,232.4,0.4352,1,0.0,0
"402-Andalusian-Trl,-Celina,-TX-75009","402 Andalusian Trl, Celina, TX 75009",75009,Single Family,Standard,4,2,1833,7013,2014,339000,90,184.94,0.2614,2,-3.14,1
"1700-Bird-Cherry-Ln,-Celina,-TX-75078","1700 Bird Cherry Ln, Celina, TX 75078",75078,Single Family,Standard,4,3,2867,6229,2020,561000,90,195.67,0.4603,3,-12.34,2
"2809-River-Bend-Pl,-Celina,-TX-75009","2809 River Bend Pl, Celina, TX 75009",75009,Single Family,Standard,5,4,4288,7797,2022,829000,89,193.33,0.55,1,0.0,0
"3308-Zenyatta-Ct,-Celina,-TX-75009","3308 Zenyatta Ct, Celina, TX 75009",75009,Single Family,Standard,5,4.5,4335,10454,2021,979500,89,225.95,0.4147,4,-16.64,3
"3426-Triple-Crown-St,-Celina,-TX-75009","3426 Triple Crown St, Celina, TX 75009",75009,Single Family,Standard,4,4,3668,7492,2018,878900,89,239.61,0.4896,1,0.0,0
"2749-Casa-Grande-Way,-Celina,-TX-75009","2749 Casa Grande Way, Celina, TX 75009",75009,Single Family,Standard,5,6,4241,12720,2016,1250000,89,294.74,0.3334,1,0.0,0
"1509-Wayback-Dr,-Celina,-TX-75009","1509 Wayback Dr, Celina, TX 75009",75009,Single Family,Standard,3,2,1929,5489,2021,450000,89,233.28,0.3514,1,0.0,0
"1025-E-Ownsby-Pkwy,-Celina,-TX-75009","1025 E Ownsby Pkwy, Celina, TX 75009",75009,Single Family,Standard,4,3.5,3487,51401,2001,850000,89,243.76,0.0678,1,0.0,0
"717-Fieldcrest-St,-Celina,-TX-75009","717 Fieldcrest St, Celina, TX 75009",75009,Single Family,Standard,4,3,2447,4356,2023,559900,89,228.81,0.5618,1,0.0,0
"2825-River-Bend-Pl,-Celina,-TX-75009","2825 River Bend Pl, Celina, TX 75009",75009,Single Family,Standard,5,4,4558,7797,2020,910000,87,199.65,0.5846,1,0.0,0
"3412-Osage-River-Trl,-Celina,-TX-75078","3412 Osage River Trl, Celina, TX 75078",75078,Single Family,Standard,3,2.5,2908,6534,2020,505000,146,173.66,0.4451,1,0.0,0
"16913-Clover-Dr,-Celina,-TX-75009","16913 Clover Dr, Celina, TX 75009",75009,Single Family,Standard,5,3,3177,8320,2022,579000,149,182.25,0.3819,1,0.0,0
"4805-Impression-Ln,-Celina,-TX-75078","4805 Impression Ln, Celina, TX 75078",75078,Single Family,Standard,5,4.5,3537,6752,2024,825000,146,233.25,0.5238,1,0.0,0
"4542-Kipling-Ave,-Celina,-TX-76227","4542 Kipling Ave, Celina, TX 76227",76227,Single Family,Standard,4,3.5,3680,10846,2019,515000,134,139.95,0.3393,3,-16.26,2
"3417-Highland-Bayou-Dr,-Celina,-TX-75078","3417 Highland Bayou Dr, Celina, TX 75078",75078,Single Family,Standard,3,2,1864,6578,2021,439900,133,236.0,0.2834,2,-4.37,1
"3257-Sky-Ln,-Celina,-TX-75009","3257 Sky Ln, Celina, TX 75009",75009,Single Family,Standard,3,2,2236,6360,2016,449000,86,200.81,0.3516,2,-7.42,1
"3322-Crosby-Ln,-Celina,-TX-75009","3322 Crosby Ln, Celina, TX 75009",75009,Single Family,Standard,5,5.5,4409,11326,2024,1299000,85,294.62,0.3893,5,30.95,2
"3428-Etta-Ter,-Celina,-TX-75009","3428 Etta Ter, Celina, TX 75009",75009,Single Family,Standard,5,4,3291,6011,2021,545000,85,165.6,0.5475,1,0.0,0
"4138-Patterson-Ln,-Celina,-TX-75009","4138 Patterson Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2478,5489,2018,550000,83,221.95,0.4514,1,0.0,0
"2600-Hale-Rd,-Celina,-TX-75009","2600 Hale Rd, Celina, TX 75009",75009,Single Family,Standard,3,2,1602,8276,2020,340000,83,212.23,0.1936,1,0.0,0
"1116-Rountree-Ct,-Celina,-TX-75009","1116 Rountree Ct, Celina, TX 75009",75009,Single Family,Standard,3,2,1695,6011,2022,325000,82,191.74,0.282,1,0.0,0
"2708-Delta-Downs-Way,-Celina,-TX-75009","2708 Delta Downs Way, Celina, TX 75009",75009,Single Family,New Construction,4,4,3942,7928,2026,899900,83,228.29,0.4972,1,0.0,0
"3204-Peacock-Ln,-Celina,-TX-75009","3204 Peacock Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2089,6839,2021,427900,83,204.83,0.3055,2,-2.73,1
"1300-Stanford-Ln,-Celina,-TX-75009","1300 Stanford Ln, Celina, TX 75009",75009,Single Family,Standard,3,2,1787,12197,2003,443000,82,247.9,0.1465,1,0.0,0
"6101-Brunswick-Dr,-Celina,-TX-76227","6101 Brunswick Dr, Celina, TX 76227",76227,Single Family,Standard,4,3,2510,7928,2018,374900,123,149.36,0.3166,2,-14.41,1
"6216-Bracken-Dr,-Celina,-TX-76227","6216 Bracken Dr, Celina, TX 76227",76227,Single Family,Standard,4,2.5,2642,8843,2021,410000,120,155.19,0.2988,1,0.0,0
"16505-Hidden-Cove-Dr,-Celina,-TX-75009","16505 Hidden Cove Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,2233,6142,2021,449000,118,201.07,0.3636,1,0.0,0
"16417-Garden-Dr,-Celina,-TX-75009","16417 Garden Dr, Celina, TX 75009",75009,Single Family,Standard,3,2,1954,6186,2022,415000,118,212.38,0.3159,1,0.0,0
"2900-Vaquero-Ln,-Celina,-TX-75009","2900 Vaquero Ln, Celina, TX 75009",75009,Single Family,Standard,5,5,4136,9627,2018,959000,81,231.87,0.4296,1,0.0,0
"512-Stableford-St,-Celina,-TX-75009","512 Stableford St, Celina, TX 75009",75009,Single Family,Standard,4,3,2123,7362,2015,455000,81,214.32,0.2884,1,0.0,0
"1918-Rhea-Ct,-Celina,-TX-75009","1918 Rhea Ct, Celina, TX 75009",75009,Single Family,Standard,4,2.5,2337,7231,2022,450000,79,192.55,0.3232,2,-10.0,1
"201-Barn-Swallow-Dr,-Celina,-TX-75009","201 Barn Swallow Dr, Celina, TX 75009",75009,Single Family,Standard,4,3,3038,8451,2024,673650,79,221.74,0.3595,3,-0.19,1
"805-Isabel-St,-Celina,-TX-75009","805 Isabel St, Celina, TX 75009",75009,Single Family,Standard,4,3.5,2662,4356,2023,567000,78,213.0,0.6111,1,0.0,0
