id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"6226-Hightower-St,-Celina,-TX-76227","6226 Hightower St, Celina, TX 76227",76227,Single Family,Standard,5,4,3213.0,6839,2020.0,569000.0,82.0,177.09,0.4698,2.0,-1.73,1.0,45.7,57.1,62.9,53.1,3.4,35
"6229-Lassen-Ct,-Celina,-TX-76227","6229 Lassen Ct, Celina, TX 76227",76227,Single Family,Standard,4,3,2494.0,6142,2024.0,446000.0,75.0,178.83,0.4061,3.0,-15.05,2.0,37.1,54.3,85.7,52.9,4.4,35
"3417-Highland-Bayou-Dr,-Celina,-TX-75078","3417 Highland Bayou Dr, Celina, TX 75078",75078,Single Family,Standard,3,2,1864.0,6578,2021.0,439900.0,133.0,236.0,0.2834,2.0,-4.37,1.0,16.7,85.7,76.2,52.7,12.3,42
"1408-Caulfield-Pl,-Celina,-TX-75009","1408 Caulfield Pl, Celina, TX 75009",75009,Single Family,New Construction,5,4,3633.0,10062,2026.0,649990.0,20.0,178.91,0.3611,1.0,0.0,0.0,79.6,40.8,11.6,52.4,-14.2,397
"805-Isabel-St,-Celina,-TX-75009","805 Isabel St, Celina, TX 75009",75009,Single Family,Standard,4,3.5,2662.0,4356,2023.0,567000.0,78.0,213.0,0.6111,1.0,0.0,0.0,45.1,84.9,11.6,52.3,2.1,397
"512-Stableford-St,-Celina,-TX-75009","512 Stableford St, Celina, TX 75009",75009,Single Family,Standard,4,3,2123.0,7362,2015.0,455000.0,81.0,214.32,0.2884,1.0,0.0,0.0,44.1,85.6,11.6,52.1,2.8,397
"1310-Kade-Ave,-Celina,-TX-75009","1310 Kade Ave, Celina, TX 75009",75009,Single Family,Standard,3,2,1689.0,6142,2022.0,358990.0,77.0,212.55,0.275,1.0,0.0,0.0,45.3,83.6,11.6,52.0,1.9,397
"6008-Fairholme-Dr,-Celina,-TX-76227","6008 Fairholme Dr, Celina, TX 76227",76227,Single Family,Standard,4,2.5,2368.0,6142,2022.0,415000.0,66.0,175.25,0.3855,2.0,-5.68,1.0,48.6,48.6,65.7,52.0,2.3,35
"1947-Serene-Springs-Rd,-Celina,-TX-75009","1947 Serene Springs Rd, Celina, TX 75009",75009,Single Family,New Construction,4,3,2981.0,,0.0,392990.0,14.0,131.83,,1.0,0.0,0.0,100.0,12.1,11.6,51.5,-36.8,397
"1425-Bellaire-St,-Celina,-TX-75009","1425 Bellaire St, Celina, TX 75009",75009,Single Family,Standard,4,3,2221.0,7405,2024.0,465000.0,22.0,209.37,0.2999,2.0,-1.48,1.0,49.4,42.8,71.0,51.4,0.4,397
"5526-Burford-Ln,-Celina,-TX-76227","5526 Burford Ln, Celina, TX 76227",76227,Single Family,New Construction,4,4,3493.0,6125,2026.0,619950.0,226.0,177.48,0.5703,1.0,0.0,0.0,42.9,91.4,0.0,51.3,3.6,35
"712-Duke-Ln,-Celina,-TX-75009","712 Duke Ln, Celina, TX 75009",75009,Single Family,New Construction,4,3,2513.0,5998,2026.0,499900.0,14.0,198.93,0.419,3.0,-18.3,2.0,60.5,12.1,97.0,50.8,-4.6,397
"4138-Patterson-Ln,-Celina,-TX-75009","4138 Patterson Ln, Celina, TX 75009",75009,Single Family,Standard,4,3,2478.0,5489,2018.0,550000.0,83.0,221.95,0.4514,1.0,0.0,0.0,39.8,86.6,11.6,50.6,6.4,397
