id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts
"2304-Balsam-Dr,-Apt-E107,-Arlington,-TX-76006","2304 Balsam Dr, Apt E107, Arlington, TX 76006",76006,Townhouse,Standard,2,1,808,2134,1981,131700,51,163.0,0.3786,1,0.0,0
"715-W-Milton-Dr,-Arlington,-TX-76001","715 W Milton Dr, Arlington, TX 76001",76001,Single Family,Standard,4,2,1900,6229,2005,329900,51,173.63,0.305,1,0.0,0
"5706-Bramblewood-Ct,-Arlington,-TX-76017","5706 Bramblewood Ct, Arlington, TX 76017",76017,Single Family,Standard,2,2,1078,3920,1984,180000,51,166.98,0.275,1,0.0,0
"907-Loch-Lomond-Dr,-Arlington,-TX-76012","907 Loch Lomond Dr, Arlington, TX 76012",76012,Single Family,Standard,4,3.5,3209,12589,1979,649000,51,202.24,0.2549,1,0.0,0
"2414-Lakeview-Cir,-Arlington,-TX-76013","2414 Lakeview Cir, Arlington, TX 76013",76013,Single Family,Standard,4,2.5,2796,11500,1970,415000,51,148.43,0.2431,1,0.0,0
"2815-Perkins-Rd,-Arlington,-TX-76016","2815 Perkins Rd, Arlington, TX 76016",76016,Single Family,Standard,5,4,4034,11413,1985,575000,50,142.54,0.3535,3,-17.85,1
"6509-Topaz-Dr,-Arlington,-TX-76001","6509 Topaz Dr, Arlington, TX 76001",76001,Single Family,Standard,3,2,1380,6098,1985,350000,51,253.62,0.2263,1,0.0,0
"4715-Ridgeline-Dr,-Arlington,-TX-76017","4715 Ridgeline Dr, Arlington, TX 76017",76017,Single Family,Standard,3,2,1855,7231,1977,310000,51,167.12,0.2565,1,0.0,0
"2110-Juanita-Dr,-Arlington,-TX-76013","2110 Juanita Dr, Arlington, TX 76013",76013,Single Family,Standard,4,3.5,2534,9060,1968,395900,50,156.24,0.2797,2,-12.02,1
"4212-Selina-Ct,-Arlington,-TX-76016","4212 Selina Ct, Arlington, TX 76016",76016,Single Family,Standard,3,2,1511,9496,1979,274000,51,181.34,0.1591,2,-5.84,1
"6705-Glade-Dr,-Arlington,-TX-76001","6705 Glade Dr, Arlington, TX 76001",76001,Single Family,Standard,5,4.5,3281,7405,2003,480000,50,146.3,0.4431,1,0.0,0
"617-Almandora-Dr,-Arlington,-TX-76002","617 Almandora Dr, Arlington, TX 76002",76002,Single Family,Standard,3,2,1860,6011,2004,305000,49,163.98,0.3094,1,0.0,0
"9010-Cloudveil-Dr,-Arlington,-TX-76002","9010 Cloudveil Dr, Arlington, TX 76002",76002,Single Family,Standard,4,3,1974,5489,2013,369900,49,187.39,0.3596,1,0.0,0
"7301-Tin-Cup-Dr,-Arlington,-TX-76001","7301 Tin Cup Dr, Arlington, TX 76001",76001,Single Family,Standard,4,2.5,3032,6490,2001,370000,49,122.03,0.4672,2,23.33,0
"2308-Bear-Run-Rd,-Arlington,-TX-76001","2308 Bear Run Rd, Arlington, TX 76001",76001,Single Family,Standard,4,2,2376,7536,2002,389800,49,164.06,0.3153,1,0.0,0
"2117-Franklin-Dr,-Arlington,-TX-76011","2117 Franklin Dr, Arlington, TX 76011",76011,Single Family,Standard,5,4,2804,10803,1973,455000,49,162.27,0.2596,1,0.0,0
"2930-Duff-Dr,-Arlington,-TX-76013","2930 Duff Dr, Arlington, TX 76013",76013,Single Family,Standard,4,2,2006,9975,1969,330000,49,164.51,0.2011,1,0.0,0
"1838-Westcrest-Dr,-Arlington,-TX-76013","1838 Westcrest Dr, Arlington, TX 76013",76013,Single Family,Standard,3,2,1534,7584,1985,299000,49,194.92,0.2023,1,0.0,0
"1908-Scarlett-Ct,-Arlington,-TX-76012","1908 Scarlett Ct, Arlington, TX 76012",76012,Single Family,Standard,4,3,2610,8538,1976,430000,48,164.75,0.3057,1,0.0,0
"3107-Olen-Ct,-Arlington,-TX-76001","3107 Olen Ct, Arlington, TX 76001",76001,Single Family,Standard,3,2.5,2721,9496,1995,449000,49,165.01,0.2865,1,0.0,0
"5218-Wild-Horse-Ct,-Arlington,-TX-76017","5218 Wild Horse Ct, Arlington, TX 76017",76017,Single Family,Standard,2,2,1018,3960,1984,245000,48,240.67,0.2571,1,0.0,0
"8304-Mossberg-Dr,-Arlington,-TX-76002","8304 Mossberg Dr, Arlington, TX 76002",76002,Single Family,Standard,3,2,1521,7928,2009,324900,48,213.61,0.1919,1,0.0,0
"2101-Count-Fleet-Dr,-Unit-511,-Arlington,-TX-76011","2101 Count Fleet Dr, Unit 511, Arlington, TX 76011",76011,Condo,Standard,2,1,879,2047,1983,134900,48,153.47,0.4294,1,0.0,0
"5525-Safari-Trl,-Arlington,-TX-76018","5525 Safari Trl, Arlington, TX 76018",76018,Single Family,Standard,4,2,1603,5053,1985,220000,48,137.24,0.3172,1,0.0,0
"7212-Big-Bear-Lake-Dr,-Arlington,-TX-76016","7212 Big Bear Lake Dr, Arlington, TX 76016",76016,Single Family,Standard,4,3,2832,10062,1983,465000,48,164.19,0.2815,2,6.16,0
"5502-Hyannis-Dr,-Arlington,-TX-76018","5502 Hyannis Dr, Arlington, TX 76018",76018,Single Family,Standard,4,2.5,2724,6926,1993,380000,48,139.5,0.3933,1,0.0,0
"6207-Millwood-Ct,-Arlington,-TX-76016","6207 Millwood Ct, Arlington, TX 76016",76016,Single Family,Standard,4,3.5,3184,11543,1994,625000,48,196.29,0.2758,1,0.0,0
"1507-Harvest-Hill-Ln,-Arlington,-TX-76014","1507 Harvest Hill Ln, Arlington, TX 76014",76014,Single Family,Standard,3,2,2163,8451,1968,342500,47,158.34,0.2559,1,0.0,0
"2202-E-Mitchell-St,-Arlington,-TX-76010","2202 E Mitchell St, Arlington, TX 76010",76010,Single Family,Standard,4,2,1504,7754,1965,295000,47,196.14,0.194,1,0.0,0
"5617-Hunterwood-Ln,-Arlington,-TX-76017","5617 Hunterwood Ln, Arlington, TX 76017",76017,Single Family,Standard,4,3.5,3196,12110,1992,649000,47,203.07,0.2639,1,0.0,0
"669-Harris-Ridge-Dr,-Arlington,-TX-76002","669 Harris Ridge Dr, Arlington, TX 76002",76002,Single Family,Standard,3,2,2231,7667,2019,435000,47,194.98,0.291,1,0.0,0
"705-Kyle-Dr,-Arlington,-TX-76011","705 Kyle Dr, Arlington, TX 76011",76011,Single Family,Standard,3,2.5,2382,10106,1983,409900,47,172.08,0.2357,1,0.0,0
"3803-Park-Flower-Ct,-Arlington,-TX-76017","3803 Park Flower Ct, Arlington, TX 76017",76017,Single Family,Standard,2,2,2274,6490,2003,374900,47,164.86,0.3504,1,0.0,0
"5416-Runnymede-Ct,-Arlington,-TX-76016","5416 Runnymede Ct, Arlington, TX 76016",76016,Single Family,Standard,5,4,3441,7318,2012,619000,47,179.89,0.4702,1,0.0,0
