id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"2016-Westbain-Dr,-Arlington,-TX-76015","2016 Westbain Dr, Arlington, TX 76015",76015,Townhouse,Standard,3,2,1400.0,2875,1973.0,213000.0,257.0,152.14,0.487,1.0,0.0,0.0,87.5,87.5,12.5,72.5,-10.2,8
"1822-E-Cedar-Elm-Dr,-Arlington,-TX-76012","1822 E Cedar Elm Dr, Arlington, TX 76012",76012,Single Family,Standard,3,2,2085.0,10977,1969.0,280000.0,152.0,134.29,0.1899,1.0,0.0,0.0,92.5,80.0,12.5,72.1,-19.2,40
"3625-Plum-Vista-Pl,-Arlington,-TX-76005","3625 Plum Vista Pl, Arlington, TX 76005",76005,Single Family,Standard,4,3,2937.0,4922,2014.0,569900.0,72.0,194.04,0.5967,4.0,-12.99,3.0,94.9,28.2,97.4,72.1,-19.7,39
"1320-Apache-St,-Arlington,-TX-76012","1320 Apache St, Arlington, TX 76012",76012,Single Family,Standard,3,2,2086.0,8886,1964.0,314000.0,239.0,150.53,0.2348,1.0,0.0,0.0,82.5,92.5,12.5,72.0,-9.4,40
"127-Kings-Row-St,-Arlington,-TX-76010","127 Kings Row St, Arlington, TX 76010",76010,Single Family,Standard,4,2,1881.0,9757,1968.0,225000.0,123.0,119.62,0.1928,1.0,0.0,0.0,100.0,76.9,0.0,71.9,-39.0,26
"504-Chaffee-Dr,-Arlington,-TX-76006","504 Chaffee Dr, Arlington, TX 76006",76006,Single Family,Standard,4,2,2364.0,9496,1979.0,375000.0,131.0,158.63,0.2489,1.0,0.0,0.0,95.0,80.0,5.0,71.8,-13.1,20
"827-Crystal-Oak-Ln,-Arlington,-TX-76005","827 Crystal Oak Ln, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,2094.0,3615,2021.0,415000.0,222.0,198.19,0.5793,1.0,0.0,0.0,87.2,92.3,0.0,71.5,-17.9,39
"4611-Smokey-Quartz-Ln,-Arlington,-TX-76005","4611 Smokey Quartz Ln, Arlington, TX 76005",76005,Townhouse,Standard,3,3,2058.0,4269,2020.0,409900.0,89.0,199.17,0.4821,2.0,-3.55,1.0,84.6,48.7,79.5,71.0,-17.5,39
"5209-Smokerise-Ct,-Arlington,-TX-76016","5209 Smokerise Ct, Arlington, TX 76016",76016,Single Family,Standard,4,3,2809.0,7623,1974.0,395000.0,68.0,140.62,0.3685,2.0,-7.06,1.0,96.6,29.3,86.2,70.9,-18.4,58
"4821-Forest-Crest-Pkwy,-Arlington,-TX-76005","4821 Forest Crest Pkwy, Arlington, TX 76005",76005,Single Family,Standard,2,2,1884.0,4182,2024.0,455000.0,175.0,241.51,0.4505,2.0,-6.87,1.0,51.3,82.1,94.9,70.8,0.0,39
"3510-Chamberland-Dr,-Arlington,-TX-76014","3510 Chamberland Dr, Arlington, TX 76014",76014,Single Family,Standard,3,2,1892.0,7275,1979.0,279000.0,240.0,147.46,0.2601,1.0,0.0,0.0,84.6,92.3,0.0,70.4,-14.6,13
"2101-Vista-Ridge-Ct,-Arlington,-TX-76013","2101 Vista Ridge Ct, Arlington, TX 76013",76013,Single Family,Standard,3,3.5,4045.0,14593,1995.0,695000.0,139.0,171.82,0.2772,2.0,-0.71,1.0,52.6,86.8,81.6,70.4,-2.2,38
"6602-Fox-Glen-Dr,-Arlington,-TX-76001","6602 Fox Glen Dr, Arlington, TX 76001",76001,Single Family,Standard,5,3,2983.0,7405,2003.0,449900.0,230.0,150.82,0.4028,1.0,0.0,0.0,77.8,98.1,3.7,70.1,-9.4,54
"6722-Tabor-Dr,-Arlington,-TX-76002","6722 Tabor Dr, Arlington, TX 76002",76002,Single Family,Standard,4,2.5,2886.0,7449,1997.0,444900.0,119.0,154.16,0.3874,1.0,0.0,0.0,87.5,87.5,0.0,70.0,-14.8,24
"3407-Dovecreek-Dr,-Arlington,-TX-76016","3407 Dovecreek Dr, Arlington, TX 76016",76016,Single Family,Standard,3,2,1909.0,7841,1979.0,324990.0,111.0,170.24,0.2435,2.0,-8.45,1.0,55.2,77.6,89.7,69.9,-1.2,58
"6611-Olivewood-Dr,-Arlington,-TX-76001","6611 Olivewood Dr, Arlington, TX 76001",76001,Townhouse,Standard,3,2,1351.0,4269,1986.0,169900.0,55.0,125.76,0.3165,4.0,-39.32,2.0,94.4,22.2,98.1,69.9,-24.5,54
"2405-Castle-Rock-Rd,-Arlington,-TX-76006","2405 Castle Rock Rd, Arlington, TX 76006",76006,Single Family,Standard,4,4,3888.0,14288,1987.0,640000.0,88.0,164.61,0.2721,4.0,-7.11,2.0,80.0,45.0,90.0,69.8,-9.8,20
"2322-Wilmette-Dr,-Arlington,-TX-76018","2322 Wilmette Dr, Arlington, TX 76018",76018,Single Family,Standard,5,3.5,3103.0,7187,1998.0,435000.0,166.0,140.19,0.4318,1.0,0.0,0.0,84.2,89.5,0.0,69.2,-15.3,19
"7704-Labrador-Dr,-Arlington,-TX-76002","7704 Labrador Dr, Arlington, TX 76002",76002,Single Family,Standard,6,3,4197.0,8886,2006.0,519000.0,87.0,123.66,0.4723,1.0,0.0,0.0,91.7,79.2,0.0,69.0,-31.7,24
"2303-Panorama-Ct,-Arlington,-TX-76016","2303 Panorama Ct, Arlington, TX 76016",76016,Single Family,Standard,4,4,6870.0,40075,2002.0,1100000.0,317.0,160.12,0.1714,1.0,0.0,0.0,75.9,98.3,1.7,68.9,-7.1,58
"1614-Powder-Horn-Ln,-Arlington,-TX-76018","1614 Powder Horn Ln, Arlington, TX 76018",76018,Single Family,Standard,5,2.5,3889.0,7187,2004.0,400000.0,93.0,102.85,0.5411,1.0,0.0,0.0,100.0,68.4,0.0,68.9,-37.9,19
"4825-Beaver-Creek-Dr,-Arlington,-TX-76005","4825 Beaver Creek Dr, Arlington, TX 76005",76005,Single Family,Standard,2,2,2536.0,6142,2020.0,565000.0,293.0,222.79,0.4129,1.0,0.0,0.0,76.9,97.4,0.0,68.7,-7.8,39
"4241-Snow-Goose-Trl,-Arlington,-TX-76005","4241 Snow Goose Trl, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,2087.0,3223,2017.0,410000.0,167.0,196.45,0.6475,1.0,0.0,0.0,92.3,76.9,0.0,68.5,-18.7,39
"6510-Daisy-Dr,-Arlington,-TX-76017","6510 Daisy Dr, Arlington, TX 76017",76017,Single Family,Standard,5,3,3188.0,7797,2003.0,454900.0,119.0,142.69,0.4089,1.0,0.0,0.0,85.4,83.3,2.1,68.0,-15.8,48
"810-Arthur-Dr,-Arlington,-TX-76013","810 Arthur Dr, Arlington, TX 76013",76013,Single Family,Standard,3,2,1454.0,13721,1960.0,275000.0,169.0,189.13,0.106,2.0,-13.43,1.0,34.2,97.4,92.1,67.9,7.7,38
"1719-Autumn-Ln,-Arlington,-TX-76012","1719 Autumn Ln, Arlington, TX 76012",76012,Single Family,Standard,4,3.5,2812.0,4356,1973.0,429000.0,236.0,152.56,0.6455,1.0,0.0,0.0,75.0,90.0,12.5,67.8,-8.2,40
"6811-Shore-Breeze-Ct,-Arlington,-TX-76016","6811 Shore Breeze Ct, Arlington, TX 76016",76016,Single Family,Standard,4,2.5,2462.0,5314,2006.0,359900.0,114.0,146.18,0.4633,1.0,0.0,0.0,87.9,79.3,1.7,67.7,-15.2,58
"1107-Rimcrest-Dr,-Arlington,-TX-76017","1107 Rimcrest Dr, Arlington, TX 76017",76017,Single Family,Standard,3,2,1386.0,4835,1987.0,199000.0,124.0,143.58,0.2867,1.0,0.0,0.0,81.2,87.5,2.1,67.6,-15.2,48
"4904-Saddleback-Rd,-Arlington,-TX-76017","4904 Saddleback Rd, Arlington, TX 76017",76017,Single Family,Standard,5,2.5,2398.0,7187,1989.0,339900.0,70.0,141.74,0.3337,2.0,-2.89,1.0,87.5,31.2,85.4,67.4,-16.3,48
"704-Castlewood-Ln,-Arlington,-TX-76012","704 Castlewood Ln, Arlington, TX 76012",76012,Single Family,Standard,3,2,2419.0,9060,1973.0,339000.0,146.0,140.14,0.267,1.0,0.0,0.0,85.0,75.0,12.5,67.0,-15.7,40
"2909-Pitkin-Dr,-Arlington,-TX-76006","2909 Pitkin Dr, Arlington, TX 76006",76006,Single Family,Standard,4,2.5,2597.0,12066,1985.0,399938.0,106.0,154.0,0.2152,1.0,0.0,0.0,100.0,60.0,5.0,67.0,-15.6,20
"2011-Brianna-Ln,-Arlington,-TX-76001","2011 Brianna Ln, Arlington, TX 76001",76001,Single Family,Standard,4,3.5,3090.0,7449,2000.0,465000.0,155.0,150.49,0.4148,2.0,2.2,0.0,79.6,87.0,1.9,66.7,-9.6,54
"1810-Lakeside-Dr,-Arlington,-TX-76013","1810 Lakeside Dr, Arlington, TX 76013",76013,Single Family,Standard,5,3,3175.0,10498,1970.0,454900.0,90.0,143.28,0.3024,1.0,0.0,0.0,94.7,65.8,5.3,66.7,-18.4,38
"401-Rocky-Canyon-Ct,-Arlington,-TX-76011","401 Rocky Canyon Ct, Arlington, TX 76011",76011,Single Family,Standard,5,3.5,3199.0,12197,1976.0,564000.0,280.0,176.31,0.2623,3.0,41.04,1.0,77.8,88.9,0.0,66.1,-30.8,9
"829-Elbe-Dr,-Arlington,-TX-76001","829 Elbe Dr, Arlington, TX 76001",76001,Single Family,Standard,4,2.5,2937.0,8233,2000.0,367000.0,94.0,124.96,0.3567,1.0,0.0,0.0,96.3,63.0,3.7,66.1,-25.0,54
"2116-Marilyn-Ln,-Arlington,-TX-76010","2116 Marilyn Ln, Arlington, TX 76010",76010,Single Family,Standard,4,1.5,1365.0,8102,1955.0,239900.0,126.0,175.75,0.1685,1.0,0.0,0.0,80.8,84.6,0.0,66.0,-10.4,26
"805-Live-Oak-Ln,-Arlington,-TX-76012","805 Live Oak Ln, Arlington, TX 76012",76012,Single Family,Standard,4,2.5,3427.0,12894,1965.0,519900.0,67.0,151.71,0.2658,2.0,-3.54,1.0,77.5,37.5,90.0,66.0,-8.7,40
"1808-Paddington-Ct,-Arlington,-TX-76017","1808 Paddington Ct, Arlington, TX 76017",76017,Single Family,Standard,4,3.5,3472.0,13591,1996.0,575000.0,95.0,165.61,0.2555,4.0,-7.26,3.0,62.5,56.2,89.6,65.7,-2.2,48
"2312-Green-Mere-Dr,-Arlington,-TX-76001","2312 Green Mere Dr, Arlington, TX 76001",76001,Single Family,Standard,3,2.5,2752.0,7536,2002.0,354900.0,96.0,128.96,0.3652,1.0,0.0,0.0,92.6,66.7,3.7,65.7,-22.6,54
"5310-Firewood-Dr,-Arlington,-TX-76016","5310 Firewood Dr, Arlington, TX 76016",76016,Single Family,Standard,3,2,2151.0,9043,1974.0,349000.0,154.0,162.25,0.2379,1.0,0.0,0.0,72.4,93.1,1.7,65.5,-5.8,58
"627-Lemon-Dr,-Arlington,-TX-76018","627 Lemon Dr, Arlington, TX 76018",76018,Single Family,Standard,3,2.5,1713.0,6011,1993.0,305000.0,120.0,178.05,0.285,2.0,-14.08,1.0,42.1,78.9,94.7,65.5,7.6,19
"2815-Perkins-Rd,-Arlington,-TX-76016","2815 Perkins Rd, Arlington, TX 76016",76016,Single Family,Standard,5,4,4034.0,11413,1985.0,575000.0,50.0,142.54,0.3535,3.0,-17.85,1.0,94.8,8.6,98.3,65.3,-17.3,58
"4717-Morris-Heights-Dr,-Arlington,-TX-76016","4717 Morris Heights Dr, Arlington, TX 76016",76016,Single Family,Standard,3,4.5,3277.0,9148,1993.0,489000.0,110.0,149.22,0.3582,1.0,0.0,0.0,86.2,72.4,1.7,64.5,-13.4,58
"6111-Sandstone-Dr,-Arlington,-TX-76001","6111 Sandstone Dr, Arlington, TX 76001",76001,Single Family,Standard,5,3.5,2980.0,7579,1993.0,440000.0,125.0,147.65,0.3932,1.0,0.0,0.0,83.3,74.1,3.7,64.2,-11.3,54
"3620-Quail-Ln,-Arlington,-TX-76016","3620 Quail Ln, Arlington, TX 76016",76016,Single Family,Standard,4,3.5,4100.0,9148,2024.0,729900.0,101.0,178.02,0.4482,4.0,-15.08,2.0,46.6,69.0,94.8,64.1,3.3,58
"7700-Buccaneer-Cir,-Arlington,-TX-76016","7700 Buccaneer Cir, Arlington, TX 76016",76016,Single Family,Standard,4,2.5,2827.0,8233,2000.0,430000.0,110.0,152.1,0.3434,1.0,0.0,0.0,84.5,72.4,1.7,63.7,-11.7,58
"1023-Birds-Fort-Trl,-Arlington,-TX-76005","1023 Birds Fort Trl, Arlington, TX 76005",76005,Townhouse,Standard,3,3,2169.0,5053,2018.0,439000.0,173.0,202.4,0.4292,1.0,0.0,0.0,79.5,79.5,0.0,63.6,-16.2,39
"1434-Crownhill-Dr,-Arlington,-TX-76012","1434 Crownhill Dr, Arlington, TX 76012",76012,Single Family,Standard,5,4.5,5545.0,33149,1976.0,680000.0,76.0,122.63,0.1673,1.0,0.0,0.0,100.0,45.0,12.5,63.2,-26.2,40
"1905-Easy-St,-Arlington,-TX-76013","1905 Easy St, Arlington, TX 76013",76013,Single Family,Standard,2,2,1775.0,7187,1960.0,280000.0,118.0,157.75,0.247,1.0,0.0,0.0,76.3,78.9,5.3,63.0,-10.2,38
"1510-Lackland-St,-Arlington,-TX-76010","1510 Lackland St, Arlington, TX 76010",76010,Single Family,Standard,5,2,1619.0,7492,1955.0,287500.0,125.0,177.58,0.2161,1.0,0.0,0.0,76.9,80.8,0.0,62.9,-9.4,26
"4567-Cypress-Thorn-Dr,-Arlington,-TX-76005","4567 Cypress Thorn Dr, Arlington, TX 76005",76005,Townhouse,Standard,3,2.5,1990.0,4922,2021.0,369900.0,90.0,185.88,0.4043,1.0,0.0,0.0,100.0,51.3,0.0,62.9,-23.0,39
