id,formattedAddress,zipCode,propertyType,listingType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price,daysOnMarket,pricePerSqft,lotRatio,priceEventCount,totalPriceChangePct,priceCuts,ppsfScore,domScore,cutScore,compositeScore,ppsfVsZipMedian,zipCount
"1405-Snapdragon-Ct,-Prosper,-TX-75078","1405 Snapdragon Ct, Prosper, TX 75078",75078,Single Family,New Construction,4,,2860.0,,0.0,578990.0,50.0,202.44,,18.0,-10.51,9.0,87.5,56.0,91.8,77.3,-21.4,473
"2320-Lewis-Canyon-Dr,-Prosper,-TX-75078","2320 Lewis Canyon Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,4127.0,12197,2016.0,750000.0,148.0,181.73,0.3384,1.0,0.0,0.0,95.8,93.7,6.8,77.2,-29.4,473
"1751-Laurel-Vista-Ct,-Prosper,-TX-75078","1751 Laurel Vista Ct, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4259.0,14985,2022.0,914999.0,64.0,214.84,0.2842,4.0,-8.04,3.0,79.9,66.2,88.2,76.8,-16.6,473
"4211-Wilson-Creek-Trl,-Prosper,-TX-75078","4211 Wilson Creek Trl, Prosper, TX 75078",75078,Single Family,Standard,4,4.5,3766.0,10062,2010.0,789990.0,61.0,209.77,0.3743,4.0,-5.95,3.0,84.1,63.0,83.9,76.7,-18.5,473
"2412-Grant-Park-Way,-Prosper,-TX-75078","2412 Grant Park Way, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,2704.0,5793,2016.0,509900.0,153.0,188.57,0.4668,1.0,0.0,0.0,93.4,94.3,6.8,76.4,-26.8,473
"461-Highbridge-Ln,-Prosper,-TX-75078","461 Highbridge Ln, Prosper, TX 75078",75078,Single Family,Standard,5,4.5,4486.0,11979,2022.0,940000.0,62.0,209.54,0.3745,2.0,-3.09,1.0,84.8,63.8,78.2,76.1,-18.6,473
"509-E-3rd-St,-Prosper,-TX-75078","509 E 3rd St, Prosper, TX 75078",75078,Single Family,Standard,0,1,831.0,7405,1925.0,199000.0,90.0,239.47,0.1122,2.0,-33.67,1.0,63.0,76.7,99.8,75.2,-7.0,473
"1001-Bridgeport-Ln,-Prosper,-TX-75078","1001 Bridgeport Ln, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,3670.0,13939,2005.0,739900.0,182.0,201.61,0.2633,1.0,0.0,0.0,88.2,97.7,6.8,75.2,-21.7,473
"970-Speargrass-Ln,-Prosper,-TX-75078","970 Speargrass Ln, Prosper, TX 75078",75078,Single Family,Standard,4,2.5,3242.0,7144,2020.0,624990.0,42.0,192.78,0.4538,3.0,-10.59,2.0,91.1,44.8,92.0,75.1,-25.1,473
"16133-Plum-Ct,-Prosper,-TX-75078","16133 Plum Ct, Prosper, TX 75078",75078,Single Family,Standard,5,4,3841.0,5881,2018.0,649900.0,35.0,169.2,0.6531,2.0,-7.01,1.0,98.7,38.3,86.5,75.1,-34.3,473
"3800-Ironwood-Dr,-Prosper,-TX-75078","3800 Ironwood Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3665.0,8364,2021.0,875000.0,97.0,238.74,0.4382,4.0,-10.26,3.0,63.8,79.7,91.5,74.9,-7.3,473
"791-Cavitt-Ct,-Prosper,-TX-75078","791 Cavitt Ct, Prosper, TX 75078",75078,Single Family,Standard,3,2.5,1815.0,2222,2022.0,450000.0,167.0,247.93,0.8168,2.0,-2.15,1.0,58.1,95.6,75.9,74.8,-3.7,473
"631-Table-Rock-Dr,-Prosper,-TX-75078","631 Table Rock Dr, Prosper, TX 75078",75078,Single Family,Standard,4,3.5,3009.0,11326,2004.0,499999.0,102.0,166.17,0.2657,1.0,0.0,0.0,99.2,81.2,6.8,74.4,-35.5,473
